QTY,Name,Type,URL
2,Chien-Pao ex,Pokémon,https://images.pokemontcg.io/sv2/61_hires.png
12,Basic Water Energy,Energy,https://images.pokemontcg.io/sve/11_hires.png
4,Energy Recycler,Trainer,https://images.pokemontcg.io/swsh5/124_hires.png
4,Super Rod,Trainer,https://images.pokemontcg.io/sv2/188_hires.png
4,Oranguru,Pokémon,https://images.pokemontcg.io/sm5/114_hires.png
4,Professor's Research,Trainer,https://images.pokemontcg.io/sv4pt5/88_hires.png
4,Professor Turo's Scenario,Trainer,https://images.pokemontcg.io/sv8pt5/121_hires.png
1,Master Ball,Trainer,https://images.pokemontcg.io/sv5/153_hires.png
4,Poké Ball,Trainer,https://images.pokemontcg.io/sv1/185_hires.png
4,Nest Ball,Trainer,https://images.pokemontcg.io/sv1/181_hires.png
3,Milotic,Pokémon,https://images.pokemontcg.io/swsh7/38_hires.png
4,Feebas,Pokémon,https://images.pokemontcg.io/swsh12/39_hires.png
4,Energy Retrieval,Trainer,https://images.pokemontcg.io/sv1/171_hires.png
3,Frigibax,Pokémon,https://images.pokemontcg.io/sv4pt5/128_hires.png
2,Arctibax,Pokémon,https://images.pokemontcg.io/sv4pt5/129_hires.png
1,Baxcalibur,Pokémon,https://images.pokemontcg.io/sv4pt5/130_hires.png
