QTY,Name,Type,URL
1,Flareon-EX,Pokémon,https://images.pokemontcg.io/g1/RC28_hires.png
2,Ethan's Ho-Oh ex,Pokémon,https://images.pokemontcg.io/sv10/209_hires.png
4,Ethan's Adventure,Trainer,https://images.pokemontcg.io/sv10/165_hires.png
3,Ethan's Cyndaquil,Pokémon,https://images.pokemontcg.io/sv10/32_hires.png
2,Ethan's Quilava,Pokémon,https://images.pokemontcg.io/sv10/33_hires.png
1,Ethan's Typhlosion,Pokémon,https://images.pokemontcg.io/sv10/34_hires.png
4,Nest Ball,Trainer,https://images.pokemontcg.io/sv4pt5/84_hires.png
4,Poké Ball,Trainer,https://images.pokemontcg.io/sv1/185_hires.png
1,Magcargo,Pokémon,https://images.pokemontcg.io/sm7/24_hires.png
2,Slugma,Pokémon,https://images.pokemontcg.io/sv6/28_hires.png
4,Magma Basin,Trainer,https://images.pokemontcg.io/swsh9/144_hires.png
4,Lady,Trainer,https://images.pokemontcg.io/swsh11/159_hires.png
4,Earthen Vessel,Trainer,https://images.pokemontcg.io/sv8pt5/106_hires.png
13,Basic Fire Energy,Energy,https://images.pokemontcg.io/sve/10_hires.png
4,Ultra Ball,Trainer,https://images.pokemontcg.io/sv1/196_hires.png
2,Energy Retrieval,Trainer,https://images.pokemontcg.io/sv1/171_hires.png
4,Energy Switch,Trainer,https://images.pokemontcg.io/sv1/173_hires.png
1,Master Ball,Trainer,https://images.pokemontcg.io/sv5/153_hires.png
