QTY,Name,Type,URL
4,Koraidon ex,Pokémon,https://images.pokemontcg.io/sv5/120_hires.png
5,Basic Fire Energy,Energy,https://images.pokemontcg.io/sve/10_hires.png
7,Basic Fighting Energy,Energy,https://images.pokemontcg.io/sve/14_hires.png
4,Cape of Toughness,Trainer,https://images.pokemontcg.io/swsh3/160_hires.png
1,Hero's Cape,Trainer,https://images.pokemontcg.io/sv5/152_hires.png
4,Lively Stadium,Trainer,https://images.pokemontcg.io/sv8/180_hires.png
2,Energy Search,Trainer,https://images.pokemontcg.io/sv1/172_hires.png
4,Fighting Fury Belt,Trainer,https://images.pokemontcg.io/xy9/99_hires.png
4,Switch,Trainer,https://images.pokemontcg.io/sv1/194_hires.png
4,Last Chance Potion,Trainer,https://images.pokemontcg.io/sm7/135_hires.png
4,Ultra Ball,Trainer,https://images.pokemontcg.io/sv4pt5/91_hires.png
4,Nest Ball,Trainer,https://images.pokemontcg.io/sv4pt5/84_hires.png
4,Air Balloon,Trainer,https://images.pokemontcg.io/swsh1/156_hires.png
3,Professor Sada's Vitality,Trainer,https://images.pokemontcg.io/sv4/170_hires.png
2,Professor Turo's Scenario,Trainer,https://images.pokemontcg.io/sv4/171_hires.png
2,Great Tusk,Pokémon,https://images.pokemontcg.io/sv5/96_hires.png
2,Gouging Fire,Pokémon,https://images.pokemontcg.io/sv8/38_hires.png
