QTY,Name,Type,URL
2,Mewtwo ex,Pokémon,https://images.pokemontcg.io/sv4/58_hires.png
1,Gardevoir,Pokémon,https://images.pokemontcg.io/swsh6/61_hires.png
2,Kirlia,Pokémon,https://images.pokemontcg.io/swshp/SWSH271_hires.png
3,Ralts,Pokémon,https://images.pokemontcg.io/swsh10/60_hires.png
2,Rare Candy,Trainer,https://images.pokemontcg.io/sv4pt5/89_hires.png
2,Snorlax,Pokémon,https://images.pokemontcg.io/sv6/136_hires.png
4,Nest Ball,Trainer,https://images.pokemontcg.io/sv1/181_hires.png
4,Ultra Ball,Trainer,https://images.pokemontcg.io/sv1/196_hires.png
2,Lillie's Clefairy ex,Pokémon,https://images.pokemontcg.io/sv9/56_hires.png
12,Basic Psychic Energy,Energy,https://images.pokemontcg.io/sve/13_hires.png
1,Master Ball,Trainer,https://images.pokemontcg.io/sv5/153_hires.png
4,Professor's Research,Trainer,https://images.pokemontcg.io/sv8pt5/122_hires.png
4,Professor Turo's Scenario,Trainer,https://images.pokemontcg.io/sv8pt5/121_hires.png
4,Poké Ball,Trainer,https://images.pokemontcg.io/sv1/185_hires.png
4,Worker,Trainer,https://images.pokemontcg.io/swsh12/167_hires.png
4,Iono,Trainer,https://images.pokemontcg.io/sv4pt5/80_hires.png
2,Timer Ball,Trainer,https://images.pokemontcg.io/sm1/134_hires.png
3,Air Balloon,Trainer,https://images.pokemontcg.io/swsh1/156_hires.png
