QTY,Name,Type,URL
2,Ninetales ex,Pokémon,https://images.pokemontcg.io/sv3pt5/186_hires.png
3,Vulpix,Pokémon,https://images.pokemontcg.io/sv6/26_hires.png
4,Scorched Earth,Trainer,https://images.pokemontcg.io/xy10/110_hires.png
4,Professor's Research,Trainer,https://images.pokemontcg.io/sv8pt5/122_hires.png
4,Iono,Trainer,https://images.pokemontcg.io/sv4pt5/80_hires.png
4,Ryme,Trainer,https://images.pokemontcg.io/sv3/194_hires.png
4,Youngster,Trainer,https://images.pokemontcg.io/sv1/198_hires.png
11,Basic Fire Energy,Energy,https://images.pokemontcg.io/sve/10_hires.png
2,Magcargo,Pokémon,https://images.pokemontcg.io/sm7/24_hires.png
3,Slugma,Pokémon,https://images.pokemontcg.io/sv6/28_hires.png
1,Blaziken,Pokémon,https://images.pokemontcg.io/sm75/6_hires.png
2,Combusken,Pokémon,https://images.pokemontcg.io/sv10/41_hires.png
3,Torchic,Pokémon,https://images.pokemontcg.io/sv10/40_hires.png
4,Poké Ball,Trainer,https://images.pokemontcg.io/swsh12pt5/137_hires.png
4,Technical Machine: Evolution,Trainer,https://images.pokemontcg.io/sv4/178_hires.png
1,Master Ball,Trainer,https://images.pokemontcg.io/sv5/153_hires.png
4,Hau,Trainer,https://images.pokemontcg.io/sm7/132_hires.png
