QTY,Name,Type,URL
2,Palossand ex,Pokémon,https://images.pokemontcg.io/sv8/221_hires.png
2,Alakazam ex,Pokémon,https://images.pokemontcg.io/sv4pt5/215_hires.png
4,Basic Psychic Energy,Energy,https://images.pokemontcg.io/sve/13_hires.png
4,Aurora Energy,Energy,https://images.pokemontcg.io/swsh1/186_hires.png
4,Rainbow Energy,Energy,https://images.pokemontcg.io/sm7/151_hires.png
4,Potion,Trainer,https://images.pokemontcg.io/swsh12pt5/139_hires.png
4,Nest Ball,Trainer,https://images.pokemontcg.io/sv4pt5/84_hires.png
4,Timer Ball,Trainer,https://images.pokemontcg.io/sm1/134_hires.png
3,Kadabra,Pokémon,https://images.pokemontcg.io/sv6/81_hires.png
4,Abra,Pokémon,https://images.pokemontcg.io/sv6/80_hires.png
3,Sandygast,Pokémon,https://images.pokemontcg.io/swsh2/81_hires.png
4,Switch,Trainer,https://images.pokemontcg.io/sv1/194_hires.png
1,Master Ball,Trainer,https://images.pokemontcg.io/sv5/153_hires.png
4,Professor's Research,Trainer,https://images.pokemontcg.io/sv8pt5/122_hires.png
4,Professor Turo's Scenario,Trainer,https://images.pokemontcg.io/sv8pt5/121_hires.png
3,Ryme,Trainer,https://images.pokemontcg.io/sv3/194_hires.png
3,Picnicker,Trainer,https://images.pokemontcg.io/svp/114_hires.png
3,Energy Switch,Trainer,https://images.pokemontcg.io/sm7/129_hires.png
