QTY,Name,Type,URL
1,Tinkaton ex,Pokémon,https://images.pokemontcg.io/sv2/262_hires.png
10,Basic Psychic Energy,Energy,https://images.pokemontcg.io/sve/13_hires.png
4,Picnicker,Trainer,https://images.pokemontcg.io/svp/114_hires.png
4,Worker,Trainer,https://images.pokemontcg.io/swsh12/167_hires.png
4,Poké Ball,Trainer,https://images.pokemontcg.io/sv1/185_hires.png
1,Master Ball,Trainer,https://images.pokemontcg.io/sv5/153_hires.png
4,Timer Ball,Trainer,https://images.pokemontcg.io/sm1/134_hires.png
4,Nest Ball,Trainer,https://images.pokemontcg.io/sv4pt5/84_hires.png
4,Bug Catcher,Trainer,https://images.pokemontcg.io/sm11/189_hires.png
3,Energy Retrieval,Trainer,https://images.pokemontcg.io/sv1/171_hires.png
2,Tinkaton,Pokémon,https://images.pokemontcg.io/sv2/105_hires.png
3,Tinkatuff,Pokémon,https://images.pokemontcg.io/sv2/103_hires.png
4,Tinkatink,Pokémon,https://images.pokemontcg.io/sv2/100_hires.png
4,Rare Candy,Trainer,https://images.pokemontcg.io/sv4pt5/89_hires.png
2,Lillie's Clefairy ex,Pokémon,https://images.pokemontcg.io/sv9/56_hires.png
2,Chansey,Pokémon,https://images.pokemontcg.io/sv3pt5/113_hires.png
4,Peonia,Trainer,https://images.pokemontcg.io/swsh6/149_hires.png
